old_name;new_category;old_name_slug;new_category_slug;status;redirect_type
"SEO &amp; Web Marketing";"SEO &amp; Web Marketing";/category/seo-web-marketing/;/category/seo-web-marketing/;migrate;301
"Social Media &amp; Community";"Social Media &amp; Community";/category/social-media-community/;/category/social-media-community/;migrate;301
Social TV;Social Media & Community;/category/social-tv/;/category/social-media-community/;migrate;301
Statistiques et Tracking;Data & Analytics;/category/statistiques-et-tracking/;/category/data-analytics/;migrate;301
storytelling;Digital Storytelling & Webdocs;/category/storytelling-digital/;/category/digital-storytelling-webdocs/;migrate;301
Style;Web Design & Front-end;/category/9-style/;/category/web-design-front-end/;migrate;301
technique;Technology & Trends;/category/technique/;/category/technology-trends/;migrate;301
Technologie;Technology & Trends;/category/technologie/;/category/technology-trends/;migrate;301
"Technology &amp; Trends";"Technology &amp; Trends";/category/technology-trends/;/category/technology-trends/;migrate;301
telecommuting;Business & Case Studies;/category/telecommuting/;/category/business-case-studies/;migrate;301
teleworking;Business & Case Studies;/category/teleworking/;/category/business-case-studies/;migrate;301
"Tools &amp; Productivity";"Tools &amp; Productivity";/category/tools-productivity/;/category/tools-productivity/;migrate;301
"Tutorials &amp; How-to";"Tutorials &amp; How-to";/category/tutorials-how-to/;/category/tutorials-how-to/;migrate;301
Tutoriaux;Tutorials & How-to;/category/tutoriaux/;/category/tutorials-how-to/;migrate;301
tutoriels;Tutorials & How-to;/category/tutoriels/;/category/tutorials-how-to/;migrate;301
Tutoriels SaaS;Tutorials & How-to;/category/tutorials-saas/;/category/tutorials-how-to/;migrate;301
TV connéctée;Multimedia & Video;/category/tv-connectee-social-tv/;/category/multimedia-video/;migrate;301
UX;UX & Product Design;/category/ux-experience-utilisateur/;/category/ux-product-design/;migrate;301
"UX &amp; Product Design";"UX &amp; Product Design";/category/ux-product-design/;/category/ux-product-design/;migrate;301
Vidéo;Multimedia & Video;/category/video/;/category/multimedia-video/;migrate;301
"Web Design &amp; Front-end";"Web Design &amp; Front-end";/category/web-design-front-end/;/category/web-design-front-end/;migrate;301
Web Development;Web Development;/category/web-development/;/category/web-development/;migrate;301
Webdesign;Web Design & Front-end;/category/webdesign-responsive-agile/;/category/web-design-front-end/;migrate;301
webdoc;Digital Storytelling & Webdocs;/category/webdoc/;/category/digital-storytelling-webdocs/;migrate;301
webdoc-new-category;;/category/webdoc-new-category/;;drop;403
webdocumentaire;Digital Storytelling & Webdocs;/category/webdocumentaire-digital-storytelling/;/category/digital-storytelling-webdocs/;migrate;301
webfiction;Digital Storytelling & Webdocs;/category/webfiction/;/category/digital-storytelling-webdocs/;migrate;301
WebGL;Web Development;/category/webgl/;/category/web-development/;migrate;301
Widget, Gadget;Mobile & Devices;/category/widget-gadget/;/category/mobile-devices/;migrate;301
"Wireframe &amp; Mock-up";"Wireframe &amp; Mock-up";/category/wireframe-mock-up/;/category/wireframe-mock-up/;migrate;301
Wordpress;WordPress & CMS;/category/wordpress/;/category/wordpress-cms/;migrate;301
"WordPress &amp; CMS";"WordPress &amp; CMS";/category/wordpress-cms/;/category/wordpress-cms/;migrate;301
XHTML CSS;Web Design & Front-end;/category/xhtml-css/;/category/web-design-front-end/;migrate;301
