uid,id,stars,review,sentiment,type,filename,url
15,6609,1,"I cannot say that Aag is the worst Bollywood film ever made, because I haven't seen every Bollywood film, but my imagination tells me that it could well be.<br /><br />This film seems like an attempt at artistic suicide on behalf of the director, and I for one be believe he has been successful in his mission. No A-list actor outside of this film would risk sharing the same billing as him for all the humiliation this film is bound to carry with it.<br /><br />But lets not just blame the director here, there is the cinematographer, who looks like he's rehearsing for the amateur home movie maker of the year award. There is the over dramatic score, that hopes to carry you to the next scene. The lighting man, who must have been holding a cigarette in one hand and light bulb on pole in the other, and hoping that the flame burning off the cigarette would add to that much needed light in every scene. And, of course the actors! Some of them are by no means newcomers, else all could be forgiven here. The ensemble of actors in Aag were put together to promote a new beginning and dimension to the re-make of India's most loved movie of all time, 'Sholay'. One must not forget that these actors were not forced in to this film, they are A-list and willing participants to something that, let's face it would surely have had high and eager public expectation??? So it begs the question, Amitabh aside (for now), did the other actors really believe their performances even attempted to better the original? Did Amitabh Bachchan read the script and believe that people would remember his dialogue in this farcical abomination of a film? Don't be stupid, of course he didn't, this was a demonstration to the public of how much money talks hence can make actors walk.<br /><br />I truly hope everyone involved is satisfied with what is truly a vulgar attempt to remake a classic film, which only succeeds in polluting everyone's mind when they watch the original.",Negative,Train,./train/neg/6609_1.txt,http://www.imdb.com/title/tt0473310/usercomments
16,3909,10,"I love Eddie Izzard. I think this is awesome, and the other television specials should be looked at as well. He has a good book ""Dress To Kill"" out to buy as well, which I think people should read. I loved that this program won an Emmy, and anyone who likes history will probably get a laugh from Eddie. Enjoy :)",Positive,Train,./train/pos/3909_10.txt,http://www.imdb.com/title/tt0184424/usercomments
17,10025,1,"If this is a 2008 product from one of the biggest production houses of Indian Film Industry (Yash Raj) then I am afraid it is a very long ahead for us to reach the right standards.<br /><br />If you can go wrong to this length with such an enormous star cast of Anil, Akshay, Saif and Kareena, then movie making is still to be studied much harder by everyone associated with this film. The film lacks in almost all departments except cinematography and Akshay Kumar. He has a few good dialogues to render but that alone cannot make you enjoy a flick with huge expectations.<br /><br />The first scene of a car going down into a river from the mountain has very cheap graphics like that of a cartoon film. That itself was a clear indicator of the director's vision. Every actor who otherwise is an asset to a movie is simply wasted. Anil Kapoor's gimmick of attempting good English falls flat most of the times. And Saif will surely hit himself thinking why he signed this movie.<br /><br />In short IT'S THE BIGGEST WASTE OF RESOURSES AFTER ""JHOOM BARABAR JHOOM"". I would say that even ""Aaja Nachle"" was a better enjoyable movie than this.<br /><br />One cannot understand how and why this kind of script was written and approved. The most unwanted was the flashback sequence of Akshay's love story. After the faulty script the weakest point of the movie is its music. Vishal Shekhar have given just some filler tunes to each song. The songs start off very well and suddenly the tunes drop drastically. Only one song ""Falak Tak Chal"" is somehow good of all in the lot. An opportunity wasted by Vishal Shekhar.<br /><br />Regarding the continuity intelligence of the makers just sample this : Akshay and Saif are on the road in the hilly area of a foreign Location (probably Ladakh). In the next scene they are searching for Kareena in Haridwar and then back in the hills with Kareena in the dicky of their car. I am still thinking who wrote this.<br /><br />If you manage to sit till the last then the climax is too long with silly and unnecessary stunts. You can see all the heroes walking through the storm of bullets not hurt as if they are GOD. Are we still seeing a 2008 movie with all these technical heights achieved? So no more words on this pathetic and downgrade movie but a sincere request to senior actors from their fan.<br /><br />Dear Anil Kapoor & Akshay Kumar, If possible please ask for a preview of your movies after their first copy is out. As artists of such stature, you have certain responsibilities towards your fans and viewers. People still clap for you as you enter the screen in your first scenes respectively. I think this kind of movie should not see the daylight as it hampers the reputation of all associated with the movie, the actors and the production house both.",Negative,Train,./train/neg/10025_1.txt,http://www.imdb.com/title/tt0995752/usercomments
18,9752,1,"I honestly can't believe what passes for entertainment now. Death (and making fun of death), violence, sexual innuendo, adults threatening children, crudeness, alcohol abuse by minors, drug theft, dysfunctional parents, babysitter from hell, stereotypical jokes about African Americans, police and fat people, and kids sneaking out of the house in the middle of the night - yup, sure sounds like a kids movie to me - NOT!!! Add to that the dark and scary elements - a dead woman possessing and turning into a house and keeping her loving husband a prisoner inside for over 20 years, and also terrorizing an entire neighborhood - how sweet for kids. PARENTS - is this really what you want your kids to be watching - is this what you want to teach them about life?!<br /><br />This movie is too scary for young kids, and i'm afraid that teens today may be living some of this movie scenario - so why rub it in their faces? As for an adult audience - you won't find it scary or amusing - just boring, contrived and predictable. And the characters are just wrong - clueless parents, ignorant police, stupid and annoying friends, nasty and manipulative babysitters, and beer drinking/womanizing boyfriends. What great material for kids - does this really sound like a children's movie to anyone? Even the computer animation and good voice work aren't enough to redeem this terrible flick. Save your money, save your time, and save your children's minds - go rent Ice Age, Monsters Inc., the Incredibles, Shrek, A Bug's Life - ANY of them are way better than this horrid film. Spielberg and Zemeckis - shame on both of you for making such a disaster and then billing it as a children's/family movie!!",Negative,Train,./train/neg/9752_1.txt,http://www.imdb.com/title/tt0385880/usercomments
19,1760,1,"This movie makes several mistakes. a few American actors in Spain , and the Spanish actors speaking English. the 'spaniards' English is OK, but the way the acting is performed it makes it all quite annoying. the dialog through the whole script is very weak; it may have been a Spanish script but translated incorrectly, who knows and who cares. i can only assume that these are famous Spanish actors forced into the English language , they may be good, but not in this flop. you will figure out the movie within the first 5 minutes, thats how pathetic it is. then the rest is just bad . lots of waste of time, lots of UN-necessary plots. Oh did i mention one of the Baldwins' is in this.",Negative,Train,./train/neg/1760_1.txt,http://www.imdb.com/title/tt0375560/usercomments
20,7543,8,"this is a visual adaptation of manga with very little dialogue. what dialogue there is appears in word baloons as it would in the manga. the plot of this is existent but only vaguely accounted for. there is an issue of the manga on which this is based available in english in the blast books collection, 'comics underground japan', and it has actual captioned dialogue that explains the plot a bit more than here. i recommend checking that volume out if you liked this, as it explains some of the ""plot"" of the movie, which is otherwise inexplicable. animation wise this is pretty decent, good unintrusive use of computers and the images are for the most part realized well. it jumps in and out of episodes, as the characters, a cat and his brain-dead older sister cat wander in and out of a series of odd images: a boat, a circus, a desert. for a mere half hour they go through a number of semi-plots and settings, which leads me to believe that the director chose a number of issues of the long-running manga to adapt at random, but primarilly selected visually. knowing what's going on might somewhat increase appreciation. this reminds me mostly of the kind of stuff they used to play on the mtv show, cartoon sushi, in particular a short that features a cat chasing a man's severed butt-cheek around the house. only in this case the cats resemble hello kitty more and their adventure is expanded to include death and reincarnation and a number of other themes [though not all that easy to tell what's going on]. the dvd of this has director's commentary and a ""making of"" features, but i cant comment on those because i didnt get around to them. i'm giving this a 8/10 for now, here isnt much to compare it to in anime, and i hope for more like this.",Positive,Train,./train/pos/7543_8.txt,http://www.imdb.com/title/tt0385586/usercomments
21,3427,1,"This must have been an embarrassment to every member of the entirely African-American cast. Every derogatory, disparaging stereotype of the black American community is featured prominently. I won't reinforce the insults by listing them here, except to mention chickens, watermelons, and dice.<br /><br />One good song by Ethel Waters (and a couple of bad ones), and the fantastic singing and dancing talents of 8-year-old Sammy Davis bring the total up to something below 1 on the IMDb scale.",Negative,Train,./train/neg/3427_1.txt,http://www.imdb.com/title/tt0024509/usercomments
22,5986,2,"To say that Thunderbirds is a horrid, forced, in-your-face, ugly looking, nasty to listen to and painful to watch film wouldn't be saying enough. There are only two reasons I can think of why you'd watch this film: 1; you've seen Thunderbirds when you were young (like I did) and are curious as to what it is like but you will really only be watching to find out how badly they screwed things up. Or, 2; you're seeing it with someone under ten years old.<br /><br />Thunderbirds manages to cock up everything it attempts. The list goes on and on but there are other more subtle, humiliating things that are painfully obvious when you think about it. From the off, Thunderbirds is wrong, wrong, wrong. The whole moral message and 'goal' is set up in an excruciating way: Jeff Tracy (A new low for Bill Paxton) tells his youngest son Alan he's not yet proved himself to be a Thunderbird after Alan randomly and stupidly decided to go down into Tracy Island's bowels to fire up Thunderbird One. The whole film is then a series of events and miss-fires consisting of Alan trying to prove himself whilst his father and other brothers are trapped in space aboard Thunderbird five.<br /><br />The film relies on kid actors to carry the film: A 16 year old Alan Tracy (Corbet), a 16 year old Tin Tin (Hudgens) and a 14 year old Fermat (Fulton) who is Brains' son. To say that watching the 'adventures' they get up to is painful is an understatement. Frequently trying to act and utilise the script whilst combating the evil 'Hood' (Kingsley) in ridiculously unfunny and hammy ways acts as the entertainment for the duration of the film; it only differs when everyone's in a different location. Also, the whole 'mind control' thing was very tiresome and basically dragged the film down as it was overused and offered a way for our heroes to see a weakness in The Hood  forced and incidental.<br /><br />I know that most 'film's for kids' these days try to integrate some sort of material for adults but in Thunderbirds it's done in a way that fetishises Lady Penelope. Sophia Myles plays Penelope and I think it's no coincidence she's a little older than the rest of the kids  at 24 years old, it's almost too good to be true. Her scenes are often highly charged and carry an erotic push. We see her in the bath, bubbles up to her neck watching TV; in comes her butler and sneaks a peek as she seductively changes channels with her wet, bare and bubble covered foot. Frequent shots of her massive, bright pink high heeled shoes filling the screen during various scenes: This first happens when she is actually tied up with the second happening during a fist fight with another woman! Twinned with this, her bright pink costumes that reveal just enough yet cover just enough are particularly outstanding as is the way she moves and talks with that posh, dominant, English accent; sounding like a commanding mistress (Well, she is LADY Penelope after all  and you'd better make sure call her that) The whole thing is laughable but the editing is so quick that the kids won't notice but it sure as hell is there.<br /><br />The actual plot of The Hood doing all that he does just to rob a few banks is very bizarre, the characters that are his bodyguards: a geeky looking woman and hard bodied black man who gets agitated a lot. Are we supposed to be laughing at this? What about the fight scenes? Poorly choreographed stunts and what the hell was with the silly noises? It's utterly, utterly laughable.<br /><br />The list goes on. The way Bill Paxton plays it all so seriously, like he was told they were doing it one way but it was made another, the way Ford motor company have their logo slapped all over the place. News bulletin: sponsored by Ford, the camera even moves to endorse Ford several times when cars are in shot, the way the CGI looks like something out of a computer game video clip  it's infuriating. The fact we are told to believe that a 16 year old girl can swim in the freezing Thames, against the current, rescue a downed monorail (monorail over the Thames!?), get back to the hatch and thus; save the day all the time holding her breath. It is absolute bull and the makers know it  I don't even know if a 10 year old would swallow it.<br /><br />In short: avoid, avoid, avoid. Thunderbirds is infuriating, unfunny, poorly scripted and even the Rolls Royce was taken out and replaced by a flying car  everything that could go wrong, did go wrong.",Negative,Train,./train/neg/5986_2.txt,http://www.imdb.com/title/tt0167456/usercomments
23,7577,4,"This is only somewhat attractive for fans of ""bad movie"" entertainment. It is more worthwhile for students of 1970's pop culture: the fashions, the furniture, the attitudes, and that great ""women's lib"" moment of the early 1970's, when it was still fresh and novel for a self-employed, independent woman to exist.<br /><br />""Superchick"" (Joyce Jillson) had a monetarily rewarding if stultifying career (after all, what is a flight attendant but a waitress at 30,000 feet -- that goes for the male ones too), she slept around with multiple men, could protect herself and others (with karate) and wasn't tied down to anything. This is the kind of emancipated woman that scared the juices out of anti-feminists, those retrograde idiots who believe that no woman is complete without a husband.<br /><br />The ""sexy stewardess"" was a potent archetype of the late 1960's to 1970's, (geez, even on ""The Partridge Family,"" I remember swinging bachelor Ruben Kincaid constantly hooking up with stewardesses) and from that point of view, this silly film is an important pop culture time capsule of the pre-AIDS, free-love, women's lib, swinging Seventies. The plot is quite awful though. And for those cavemen in the audience, there are few bare breasts to look at.",Negative,Train,./train/neg/7577_4.txt,http://www.imdb.com/title/tt0070752/usercomments
24,8237,8,"For the life of me, why did this film receive an R rating?! While it IS about flesh-eating zombies, believe it or not, it's actually a pretty good family-friendly film--at least if your kids are age 10 and older. Unlike the traditional zombie films, this one has an excellent sense of humor as well as a traditional values--albeit a bit twisted! The language isn't a serious problem, there is no nudity and the film style is definitely geared towards kids (much like the old TV show ""Eerie, Indiana"")--yet some knucklehead slapped an R rating one it! Believe me, most kids have seen worse violence than this and it just seems silly to make audiences think this is an adults only film.<br /><br />The story is set in a parallel-type world. While the fashions, cars and mores appear circa 1953, in this bizarro world there has been a fierce recent zombie plague that resulted in the ""zombie war"" and massive changes in everyday life. At school, kids are trained in armed combat and there's a cute scene late in the film where the father gives his son a handgun and tells him to keep it in his backpack ""just in case""! As for life outside of school, it's pretty weird as well, as people now have learned that zombies AREN'T such a bad thing! Heck, using shock collars and training, they can be made into slaves who can do your housework, clean streets, deliver milk or, in the case of a really sick guy, be your ""special friend"".<br /><br />This film deals with one particular family that finally buys their first zombie slave (played by Billy Connally). Mom is thrilled and her son slowly becomes the zombie's friend. Dad, on the other hand, isn't convinced--as he was forced years early to kill his own zombie father and he hasn't yet gotten over this!! Funny, irreverent and unique--this film needs to be seen by a much wider audience.",Positive,Train,./train/pos/8237_8.txt,http://www.imdb.com/title/tt0457572/usercomments
25,9894,8,"""Slaughter High"" is a totally ridiculous slasher flick about a high school nerd Marty,who gets pick on all the time by some pranksters.The prank goes wrong and he ends up getting savagely burned.Five years later his tormentors all attend a reunion-just the ten of them of course,and low and behold Marty murders them one after another.British actress Caroline Munro(""Maniac"")leads the cast as the heroine(who dies anyway!).The acting is completely awful,there's also no suspense at all.Plenty of grotesque death scenes to satisfy the gore-freaks:a guy's stomach explodes,another female victim literally gets an acid bath,a couple having sex in bed get electrocuted,a guy is crushed by a tractor,one girl is drowned,and a doctor gets a hyperdermic needle in the eye.The killer wears a decent and rather creepy jester's mask and the setting(a beautiful old English castle)is really nice.However the dream finale is utterly pathetic.All in all it's true that ""Slaughter High"" is a piece of garbage,but I enjoyed it.Only for fans of truly bad slasher flicks.",Positive,Train,./train/pos/9894_8.txt,http://www.imdb.com/title/tt0091969/usercomments
26,10451,10,"""Before Sunrise"" is a wonderful love story and has to be among my Top 5 favorite movies ever. Dialog and acting are great. I love the characters and their ideas and thoughts. Of course, the romantic Vienna, introduced in the movie does not exist (you won't find a poet sitting by the river in the middle of the night) and it isn't possible to get to all the places in only one night, either (especially if you're a stranger and it's your first night in Vienna). But that's not the point. The relationship of the two characters is much more important and this part of the story is not at all unrealistic. Although, nothing ever really happens, the movie never gets boring. The ending is genuinely sad without being ""Titanic"" or something. Even if you don't like love stories you should watch this film! I'm a little skeptic about the sequel that is going to be released in summer. The first part is perfect as it is, in my opinion.",Positive,Train,./train/pos/10451_10.txt,http://www.imdb.com/title/tt0112471/usercomments
